E_eV,a_0_A=1.1469,a_1_A=1.78756,a_2_A=1.87069,a_3_A=2.27727,a_4_A=2.404
90.35971298344077,-0.015644131433242007,-0.0006209431188295315,-0.0004447339912240472,-0.00010367171430865967,-6.92442037598449e-05
95.74852126495772,-0.015197524061087304,-0.0006032164859549998,-0.000432037761971818,-0.00010071210277050931,-6.726742594957816e-05
101.45870346119995,-0.014763666399308923,-0.0005859959115317812,-0.0004197039836237384,-9.783698197812473e-05,-6.534708102898282e-05
107.50942544107035,-0.014342194470228,-0.0005692669486450017,-0.00040772230896133027,-9.504393989667361e-05,-6.348155795658517e-05
113.92099607392682,-0.01393275468697038,-0.0005530155628091192,-0.00039608268615765426,-9.233063334989483e-05,-6.16692916827904e-05
120.71493539503045,-0.013535003556830811,-0.0005372281201939267,-0.00038477535034449627,-8.969478605432971e-05,-5.9908761836910326e-05
127.914046836196,-0.013148607393105402,-0.0005218913761866758,-0.0003737908154202938,-8.713418670967174e-05,-5.819849145167363e-05
135.54249376408254,-0.012773242035150739,-0.0005069924642807286,-0.00036311986609192796,-8.464668714363292e-05,-5.65370457241486e-05
143.62588058302035,-0.012408592576434672,-0.0004925188852814162,-0.00035275355014370677,-8.223020050977029e-05,-5.492303081203916e-05
152.1913386745902,-0.012054353100350737,-0.000478458496820047,-0.00034268317092705277,-7.988269953676088e-05,-5.335509266434403e-05
161.26761746240678,-0.011710226423574475,-0.00046479950316726795,-0.00033290028006459355,-7.760221482765587e-05,-5.1831915885398006e-05
170.8851809077575,-0.011375923846746442,-0.00045153044533723357,-0.0003233966703625365,-7.538683320768812e-05,-5.035222263134279e-05
181.07630975998174,-0.011051164912272662,-0.0004386401914742797,-0.00031416436892537947,-7.323469611924554e-05,-4.891477153810096e-05
191.87520990478345,-0.010735677169039379,-0.0004261179275140384,-0.0003051956304671825,-7.114399806266532e-05,-4.751835667995425e-05
203.31812717414422,-0.010429195943844744,-0.0004139531481111582,-0.0002964829308137893,-6.911298508153991e-05,-4.6161806557852245e-05
215.44346900318845,-0.010131464119355605,-0.000402135647826019,-0.0002880189605905455,-6.713995329126446e-05,-4.4843983116602637e-05
228.2919333423335,-0.009842231918403214,-0.00039065551256304843,-0.00027979661909022127,-6.522324744959107e-05,-4.356378079011876e-05
241.90664525741153,-0.009561256694436799,-0.00037950311125345556,-0.00027180900831598996,-6.336125956799085e-05,-4.232012557392332e-05
256.3333016762518,-0.00928830272795928,-0.0003686690877754056,-0.00026404942719446874,-6.155242756265857e-05,-4.111197412413009e-05
271.62032476755695,-0.009023141028774322,-0.00035814435310485803,-0.00025651136595396446,-5.9795233944028584e-05,-3.9938312882147995e-05
287.8190244668795,-0.008765549143878794,-0.00034792007769047926,-0.00024918850066320844,-5.808820454370193e-05,-3.8798157224372875e-05
304.9837706952068,-0.00851531097083953,-0.0003379876840462382,-0.00024207468792599956,-5.642990727771743e-05,-3.7690550636153915e-05
323.1721758481955,-0.008272216576497774,-0.00032833883955546645,-0.00023516395972730426,-5.481895094512847e-05,-3.661456390934155e-05
342.44528816856945,-0.008036062020849258,-0.00031896544948034844,-0.00022845051842648915,-5.3253984060878255e-05,-3.5569294362743725e-05
362.8677966507226,-0.007806649185952104,-0.000309859650170975,-0.00022192873189348699,-5.1733693721993744e-05,-3.4553865084836535e-05
384.5082481652772,-0.0075837856097190825,-0.0003010138024682651,-0.0002155931287838143,-5.025680450614753e-05,-3.3567424198093805e-05
407.4392775323618,-0.007367284324454732,-0.0002924204852952204,-0.0002094383939484782,-4.882207740166347e-05,-3.260914414431864e-05
431.7378513158359,-0.007156963700001924,-0.0002840724894311357,-0.00020345936397492045,-4.742830876806846e-05,-3.16782209903772e-05
457.48552615674055,-0.00695264729136625,-0.00027596281146354315,-0.00019765102285525777,-4.607432932631818e-05,-3.077387375375235e-05
484.7687225130567,-0.0067541636906904325,-0.00026808464791281566,-0.0001920084977781859,-4.475900317784993e-05,-2.9895343747351358e-05
