E_eV,V_m_per_s,I1,I2,I3,Phi
2600.7244442001165,30246342.572163917,-3.2207858966414235e-13,-2.2791884246285056e-13,-9.729416507746115e-17,-5.500947262920704e-13
2755.8245984626415,31135187.32866162,-3.128839166859068e-13,-2.214122341713488e-13,-9.451661928806054e-17,-5.343906674765437e-13
2920.174505387701,32050152.433405347,-3.0395173247249365e-13,-2.1509137599599168e-13,-9.181836664646664e-17,-5.191349268351318e-13
3094.325795144362,32992005.481171917,-2.95274543516323e-13,-2.0895096515780417e-13,-8.919714349844444e-17,-5.043147058176257e-13
3278.862995629286,33961536.62393134,-2.868450702338502e-13,-2.0298585026110728e-13,-8.665075081237309e-17,-4.899175712457698e-13
3474.4054943980086,34959559.23373167,-2.786562408584809e-13,-1.971910269718405e-13,-8.417705233440485e-17,-4.759314448826558e-13
3681.6096176004703,35986910.58506401,-2.7070118550782887e-13,-1.9156163381925875e-13,-8.177397279629033e-17,-4.623445932998839e-13
3901.170832898638,37044452.55727997,-2.629732304203434e-13,-1.860929481174824e-13,-7.943949617436687e-17,-4.4914561803400016e-13
4133.826083760148,38133072.3576511,-2.55465892356467e-13,-1.8078038200347811e-13,-7.717166399824873e-17,-4.3632344602394336e-13
4380.356262962907,39253683.26567669,-2.4817287315962975e-13,-1.7561947858814765e-13,-7.496857370780098e-17,-4.238673203214852e-13
4641.588833612782,40407225.39926439,-2.4108805447251546e-13,-1.7060590821729467e-13,-7.282837705701839e-17,-4.1176679106686716e-13
4918.400606471699,41594666.50342654,-2.3420549260416713e-13,-1.6573546483933318e-13,-7.074927856346997e-17,-4.0001170672206376e-13
5211.720682918044,42817002.762153774,-2.2751941354362646e-13,-1.6100406247669055e-13,-6.872953400200891e-17,-3.88592205554319e-13
5522.53357341725,44075259.63414705,-2.2102420811592312e-13,-1.5640773179794442e-13,-6.676744894148385e-17,-3.7749870736280906e-13
5851.882501969514,45370492.71310915,-2.1471442727635044e-13,-1.519426167878181e-13,-6.486137732322398e-17,-3.667219054414918e-13
6200.87290762581,46703788.613317534,-2.0858477753908013e-13,-1.4760497151224052e-13,-6.300972008010551e-17,-3.5625275877140074e-13
6570.676154824831,48076265.88122128,-2.0263011653628029e-13,-1.4339115697575715e-13,-6.121092379504082e-17,-3.4608248443583246e-13
